// Data mode  : Quaternion
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,QUATERNION_W,QUATERNION_X,QUATERNION_Y,QUATERNION_Z
,139,2018/03/15 00:39:15.85,-444739647,80555670,86740638,-970110818
,140,2018/03/15 00:39:15.87,-433320835,80968004,88671344,-975056992
,141,2018/03/15 00:39:15.89,-424763329,80819536,90852096,-978627468
,142,2018/03/15 00:39:15.91,-418949038,80390058,93058337,-980959120
,143,2018/03/15 00:39:15.93,-415617773,79735161,95022869,-982240466
,144,2018/03/15 00:39:15.95,-414381268,78756633,96573061,-982690546
,145,2018/03/15 00:39:15.97,-414781326,77701949,97665119,-982497782
,146,2018/03/15 00:39:15.99,-416293329,76780956,98234462,-981873742
,147,2018/03/15 00:39:16.01,-418339727,76020451,98364124,-981049830
,148,2018/03/15 00:39:16.03,-420442018,75390502,98189978,-980216821
,149,2018/03/15 00:39:16.05,-422227117,74750137,97769548,-979540353
,150,2018/03/15 00:39:16.07,-423469534,74088407,97201015,-979110786
,151,2018/03/15 00:39:16.09,-424101519,73454643,96574980,-978946933
,152,2018/03/15 00:39:16.11,-423992737,72471188,95705963,-979152675
,153,2018/03/15 00:39:16.13,-423404680,71725432,95242629,-979507166
,154,2018/03/15 00:39:16.15,-422604200,70909330,94981899,-979937499
,155,2018/03/15 00:39:16.17,-421761904,69987981,94997063,-980365056
,156,2018/03/15 00:39:16.19,-420984177,68955091,95333216,-980739825
,157,2018/03/15 00:39:16.21,-420410928,67855317,95764191,-981020405
,158,2018/03/15 00:39:16.23,-420012026,66786165,96071990,-981234522
,159,2018/03/15 00:39:16.25,-419667730,65782321,96150866,-981441899
,160,2018/03/15 00:39:16.27,-419219432,64898452,96087927,-981698465
,161,2018/03/15 00:39:16.29,-418614433,64155576,96017333,-982012320
,162,2018/03/15 00:39:16.31,-417877858,63534363,95980157,-982369990
,163,2018/03/15 00:39:16.33,-417080019,63055494,95995047,-982738378
,164,2018/03/15 00:39:16.35,-416300076,62719811,96036489,-983086452
,165,2018/03/15 00:39:16.37,-415617341,62482685,95991042,-983394817
,166,2018/03/15 00:39:16.39,-415067242,62342912,95873261,-983647483
,167,2018/03/15 00:39:16.41,-414637829,62309723,95737065,-983843936
,168,2018/03/15 00:39:16.43,-414303838,62393959,95599240,-983992691
,169,2018/03/15 00:39:16.45,-414056362,62532629,95443566,-984103161
,170,2018/03/15 00:39:16.47,-413832623,62716788,95231959,-984206049
,171,2018/03/15 00:39:16.49,-413626371,62901146,94969270,-984306363
,172,2018/03/15 00:39:16.51,-413412679,63092100,94651259,-984414542
,173,2018/03/15 00:39:16.53,-413191387,63286451,94321518,-984526617
